title,genre,runtime,year,top200_box,director,mpaa_rating,imdb_rating,critics_rating,audience_rating,imdb_num_votes,critics_score,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win
Every Which Way But Loose,Action & Adventure,114,1978,no,James Fargo,PG,6.2,Rotten,Spilled,16681,31,56,no,no,no,no,no
Strictly Business,Drama,83,1991,no,Rolando Hudson,PG-13,5.3,Rotten,Spilled,1308,10,56,no,no,no,no,no
Once,Musical & Performing Arts,85,2007,no,John Carney (V),R,7.9,Certified Fresh,Upright,87215,97,91,no,no,no,no,no
Beverly Hills Cop,Action & Adventure,105,1984,yes,Martin Brest,R,7.3,Certified Fresh,Upright,121245,83,81,no,no,no,no,no
The Raven,Mystery & Suspense,110,2012,no,James McTeigue,R,6.4,Rotten,Spilled,71112,22,46,no,no,no,no,no
Nick and Norah's Infinite Playlist,Comedy,90,2008,no,Peter Sollett,PG-13,6.7,Fresh,Upright,72295,74,65,no,no,no,no,no
Attack of the 50 Foot Woman,Other,90,1993,no,Christopher Guest,R,3.8,Rotten,Spilled,2289,22,21,no,no,no,no,no
The Sum of All Fears,Drama,124,2002,no,Phil Alden Robinson,PG-13,6.4,Rotten,Spilled,84191,59,49,no,no,no,no,no
The Interview,Comedy,112,2014,no,Seth Rogen,R,6.6,Rotten,Spilled,235529,51,48,no,no,no,no,no
Let the Right One In,Drama,115,2008,no,Tomas Alfredson,R,8,Certified Fresh,Upright,168032,98,90,no,no,no,no,no
Volcano,Drama,104,1997,no,Mick Jackson,PG-13,5.4,Rotten,Spilled,56329,44,31,no,no,no,no,no
Nostalgia for the Light,Documentary,90,2011,no,Patricio Guzman,Unrated,7.6,Certified Fresh,Upright,2849,100,84,no,no,no,no,no
Where the Heart Is,Drama,120,2000,no,Matt Williams,PG-13,6.8,Rotten,Upright,26360,35,77,no,no,no,yes,no
The Cake Eaters,Art House & International,86,2007,no,Mary Stuart Masterson,R,6.5,Fresh,Spilled,5762,64,48,no,no,no,no,no
The Darwin Awards,Drama,94,2006,no,Finn Taylor,R,5.9,Rotten,Spilled,8521,25,45,no,no,no,no,no
Kick-Ass 2,Action & Adventure,103,2013,no,Jeff Wadlow,R,6.6,Rotten,Spilled,191935,30,58,no,no,no,no,no
Hotel Terminus: The Life and Times of Klaus Barbie,Documentary,267,1988,no,Marcel Ophuls,Unrated,7.8,Fresh,Upright,872,100,73,no,no,no,no,no
Jade,Drama,95,1995,no,William Friedkin,R,5.1,Rotten,Spilled,8999,14,27,no,no,no,no,yes
Lethal Weapon,Drama,110,1987,no,Richard Donner,R,7.6,Certified Fresh,Upright,184656,84,85,no,no,no,no,no
Closet Land,Mystery & Suspense,89,1991,no,Radha Bharadwaj,R,7.2,Rotten,Upright,2098,44,86,no,no,no,no,no
Cast Away,Drama,143,2000,yes,Robert Zemeckis,PG-13,7.7,Certified Fresh,Upright,375820,90,83,no,no,yes,yes,yes
Crocodile Dundee in Los Angeles,Action & Adventure,92,2001,no,Simon Wincer,PG,4.8,Rotten,Spilled,19187,11,25,no,no,no,no,no
Motorama,Drama,90,1992,no,Barry Shils,R,6.4,Fresh,Upright,1406,60,61,no,no,no,no,no
Lost and Delirious,Drama,103,2001,no,Lea Pool,R,7,Rotten,Upright,16755,51,78,no,no,no,no,no
Antiviral,Drama,108,2013,no,Brandon Cronenberg,Unrated,5.6,Fresh,Spilled,9003,64,40,no,no,no,no,no
Class Action,Mystery & Suspense,110,1991,no,Michael Apted,R,6.3,Fresh,Spilled,5014,75,51,no,no,yes,no,no
The Pit and the Pendulum,Horror,97,1991,no,Stuart Gordon,R,6.1,Rotten,Spilled,2818,56,40,no,no,no,no,no
Man on Wire,Documentary,94,2008,no,James Marsh,PG-13,7.9,Certified Fresh,Upright,38076,100,87,no,no,no,no,no
Madagascar: Escape 2 Africa,Action & Adventure,89,2008,no,Tom McGrath,PG,6.7,Fresh,Upright,137405,64,66,no,no,no,no,no
Failure to Launch,Drama,97,2006,no,Tom Dey,PG-13,5.6,Rotten,Spilled,56361,24,52,no,no,yes,no,no
London to Brighton,Mystery & Suspense,85,2008,no,Paul Andrew Williams,R,7,Fresh,Upright,7244,67,75,no,no,no,no,no
A Stranger Among Us,Drama,110,1992,no,Sidney Lumet,PG-13,5.7,Rotten,Spilled,2701,23,40,no,no,no,no,no
Van Wilder: The Rise of Taj (Van Wilder 2),Comedy,97,2006,no,Mort Nathan,R,4.8,Rotten,Spilled,18712,7,38,no,no,no,no,no
The Human Stain,Mystery & Suspense,106,2003,no,Robert Benton,R,6.3,Rotten,Spilled,25054,43,49,no,no,yes,yes,yes
Woo,Comedy,84,1998,no,Tommy Davidson,R,3.8,Rotten,Upright,1510,10,63,no,no,no,no,no
The Black Stallion,Action & Adventure,118,1979,no,Carroll Ballard,G,7.4,Fresh,Upright,8544,88,83,no,no,no,no,no
Savior,Drama,103,1998,no,Predrag Antonijevic,R,7.3,Rotten,Upright,8561,56,81,no,no,no,no,no
Project X,Drama,88,2012,no,Jonathan Kaplan,R,6.7,Rotten,Upright,151934,28,61,no,no,no,no,no
Bottle Rocket,Drama,91,1996,no,Wes Anderson,R,7.1,Certified Fresh,Upright,52449,85,80,no,no,no,no,no
At First Sight,Drama,128,1999,no,Irwin Winkler,PG-13,5.9,Rotten,Spilled,11001,32,46,no,no,no,no,no
Session 9,Drama,100,2001,no,Brad Anderson,R,6.5,Fresh,Upright,42613,63,64,no,no,no,no,no
Liz & Dick,Drama,88,2012,no,Lloyd Kramer,Unrated,4.1,Rotten,Spilled,3505,33,19,no,no,no,no,no
The Devil's Rejects,Horror,107,2005,no,Rob Zombie,R,6.9,Rotten,Upright,74294,53,78,no,no,no,no,no
Surviving Progress,Documentary,86,2012,no,Mathieu Roy,G,7.5,Fresh,Upright,1480,75,80,no,no,no,no,no
The Squeeze,Action & Adventure,101,1987,no,Roger Young,PG-13,4.5,Rotten,Spilled,703,17,33,no,no,no,no,no
Kindergarten Cop,Action & Adventure,111,1990,no,Ivan Reitman,PG-13,6,Rotten,Spilled,103789,51,51,no,no,no,no,no
In the Loop,Art House & International,106,2009,no,Armando Iannucci,Unrated,7.5,Certified Fresh,Upright,42842,94,81,no,no,no,no,no
Cypher,Action & Adventure,95,2002,no,Vincenzo Natali,R,6.8,Rotten,Upright,26731,58,65,no,no,no,no,no
Love and Death,Drama,85,1975,no,Woody Allen,PG,7.8,Fresh,Upright,26628,100,90,no,no,no,yes,yes
Happy Gilmore,Comedy,92,1996,no,Dennis Dugan,PG-13,7,Fresh,Upright,149437,60,85,no,no,no,no,no
Catch a Fire,Drama,101,2006,no,Phillip Noyce,PG-13,6.7,Certified Fresh,Upright,9291,76,71,no,no,no,no,no
Run Lola Run,Drama,81,1999,no,Tom Tykwer,R,7.8,Certified Fresh,Upright,157701,93,90,no,no,no,no,no
Funny Farm,Comedy,101,1988,no,George Roy Hill,PG,6.1,Fresh,Spilled,14901,67,50,no,no,no,no,yes
Winter Kills,Mystery & Suspense,97,1977,no,William Richert,R,6.4,Fresh,Spilled,1361,86,51,no,no,yes,no,no
Waking Life,Drama,99,2001,no,Richard Linklater,R,7.8,Certified Fresh,Upright,47065,80,87,no,no,no,no,no
An Ideal Husband,Comedy,97,1999,no,Oliver Parker,PG-13,6.9,Certified Fresh,Upright,12606,85,69,no,no,no,yes,no
Being John Malkovich,Drama,112,1999,no,Spike Jonze,R,7.8,Certified Fresh,Upright,246587,93,87,no,no,no,no,no
Secondhand Lions,Drama,111,2003,no,Tim McCanlies,PG,7.6,Rotten,Upright,42208,59,84,no,no,yes,no,no
Politiki Kouzina (A Touch of Spice),Drama,108,2003,no,Tassos Boulmetis,Unrated,7.6,Rotten,Upright,9216,31,86,no,no,no,no,no
Hellboy II: The Golden Army (Hellboy 2),Action & Adventure,120,2008,no,Guillermo del Toro,PG-13,7,Certified Fresh,Upright,201787,85,71,no,no,no,no,no
The Return of the Pink Panther,Mystery & Suspense,113,1975,no,Blake Edwards,G,7.1,Fresh,Upright,19000,89,82,no,no,no,no,no
Love the Beast,Documentary,92,2009,no,Eric Bana,R,7.5,Fresh,Upright,1799,61,72,no,no,no,no,no
200 Cigarettes,Drama,101,1999,no,Risa Bramon Garcia,R,5.9,Rotten,Spilled,12877,28,59,no,no,no,no,no
The Wild Geese,Drama,134,1978,no,Andrew V. McLaglen,R,6.8,Fresh,Upright,9025,60,76,no,no,no,no,no
The Slumber Party Massacre,Horror,77,1982,no,Amy Holden Jones,R,5.7,Rotten,Spilled,5985,36,45,no,no,no,no,no
Oliver & Company,Animation,74,1988,no,George Scribner,G,6.7,Rotten,Upright,30886,43,63,no,no,no,no,no
No Mercy,Drama,106,1986,no,Richard Pearce,R,5.6,Rotten,Spilled,4970,21,29,no,no,no,no,no
Imagining Argentina,Art House & International,107,2004,no,Christopher Hampton,R,6.3,Rotten,Upright,2732,33,72,no,no,no,yes,no
Good Boy!,Comedy,87,2003,no,John Robert Hoffman,PG,5.1,Rotten,Spilled,3336,44,40,no,no,no,no,no
Speed,Mystery & Suspense,116,1994,no,Jan de Bont,R,7.2,Certified Fresh,Upright,252661,93,76,no,no,no,yes,no
Me and You and Everyone We Know,Drama,91,2005,no,Miranda July,R,7.4,Certified Fresh,Upright,30641,81,84,no,no,no,no,no
Henry: Portrait of a Serial Killer,Drama,83,1986,no,John McNaughton,NC-17,7,Certified Fresh,Upright,22601,86,71,no,no,no,no,no
Someone to Watch over Me,Drama,106,1987,no,Ridley Scott,R,6.1,Fresh,Spilled,7076,76,42,no,no,no,no,no
Grease,Other,110,1978,yes,Randal Kleiser,PG,7.2,Certified Fresh,Upright,161601,78,88,no,no,no,no,no
28 Days Later,Science Fiction & Fantasy,113,2003,no,Danny Boyle,R,7.6,Certified Fresh,Upright,285328,87,85,no,no,no,no,yes
Normal,Drama,110,2003,no,Jane Anderson,Unrated,7.3,Fresh,Upright,2598,100,75,no,no,no,yes,no
Winter's Bone,Drama,100,2010,no,Debra Granik,R,7.2,Certified Fresh,Upright,108598,94,76,yes,no,no,yes,no
Your Sister's Sister,Drama,90,2012,no,Lynn Shelton,R,6.7,Certified Fresh,Upright,20655,83,66,no,no,no,no,no
Sleepover,Comedy,89,2004,no,Joe Nussbaum,PG,5.3,Rotten,Spilled,12322,15,55,no,no,no,no,no
The Kingdom,Drama,110,2007,no,Peter Berg,R,7.1,Rotten,Upright,99192,51,76,no,no,yes,no,no
House on Haunted Hill,Mystery & Suspense,93,1999,no,William Malone,R,5.6,Rotten,Spilled,44257,28,42,no,no,yes,no,no
Patch Adams,Drama,115,1998,no,Tom Shadyac,PG-13,6.7,Rotten,Upright,77762,22,74,no,no,yes,no,no
Harry Potter and the Chamber of Secrets,Science Fiction & Fantasy,161,2002,yes,Chris Columbus,PG,7.4,Certified Fresh,Upright,368799,82,79,no,no,no,no,no
The Heavenly Kid,Drama,90,1985,no,Cary Medoway,PG-13,6.2,Rotten,Upright,2830,25,64,no,no,no,no,no
Snow Flower And The Secret Fan,Art House & International,104,2011,no,Wayne Wang,PG-13,6,Rotten,Spilled,2960,21,48,no,no,no,no,no
Apollo 18,Science Fiction & Fantasy,86,2011,no,Gonzalo Lopez-Gallego,PG-13,5.2,Rotten,Spilled,46233,24,23,no,no,no,no,no
Total Eclipse,Art House & International,111,1995,no,Agnieszka Holland,R,6.5,Rotten,Upright,9980,25,61,no,no,no,no,no
Hoodlum,Drama,130,1997,no,Bill Duke,R,6.2,Rotten,Upright,8016,45,66,no,no,no,no,no
National Security,Drama,88,2003,no,Dennis Dugan,PG-13,5.6,Rotten,Spilled,37938,11,45,no,no,no,no,no
Down in the Valley,Other,108,2006,no,David Jacobson,R,6.5,Rotten,Spilled,16480,52,54,no,no,no,no,no
Young Adult,Drama,94,2011,no,Jason Reitman,R,6.3,Certified Fresh,Spilled,63219,80,49,no,no,no,yes,no
The Man Who Sued God,Drama,97,2001,no,Mark Joffe,R,6.5,Fresh,Spilled,4251,71,59,no,no,no,no,no
Compliance,Drama,90,2012,no,Craig Zobel,R,6.4,Certified Fresh,Upright,23697,89,60,no,no,no,no,no
I Spit On Your Grave,Horror,108,2010,no,Steven R. Monroe,R,6.3,Rotten,Spilled,53675,34,48,no,no,no,no,no
Maniac,Drama,87,1980,no,William Lustig,R,6.5,Rotten,Spilled,9787,43,58,no,no,no,no,no
Dog Park,Comedy,91,1998,no,Bruce McCulloch,R,5.1,Rotten,Spilled,1978,36,28,no,no,no,no,no
The Brothers Solomon,Comedy,93,2007,no,Bob Odenkirk,R,5.3,Rotten,Spilled,9370,15,31,no,no,no,no,no
Maurice,Drama,140,1987,no,James Ivory,R,7.8,Fresh,Upright,10380,91,87,no,no,no,no,no
The Last Boy Scout,Drama,105,1991,no,Tony Scott,R,6.9,Rotten,Upright,73280,42,68,no,no,no,no,no
Alligator,Science Fiction & Fantasy,91,1980,no,Lewis Teague,R,5.9,Fresh,Spilled,7656,67,47,no,no,no,no,no
Jennifer 8,Mystery & Suspense,124,1992,no,Bruce Robinson,R,6.2,Rotten,Spilled,11855,39,37,no,no,no,no,no
RoboCop,Drama,102,1987,no,Paul Verhoeven,R,7.5,Certified Fresh,Upright,172765,88,83,no,no,no,no,no
The Football Factory,Documentary,91,2004,no,Nick Love,R,6.9,Rotten,Upright,23201,20,84,no,no,no,no,no
Bamboozled,Drama,135,2000,no,Spike Lee,R,6.4,Rotten,Upright,8604,48,74,no,no,no,no,no
The Sure Thing,Comedy,100,1985,no,Rob Reiner,PG-13,7,Fresh,Upright,14949,87,79,no,no,no,no,no
The Slaughter Rule,Drama,112,2002,no,Alex Smith,R,6.1,Fresh,Spilled,1995,73,44,no,no,no,no,no
Rise of the Footsoldier,Action & Adventure,119,2007,no,Julian Gilbey,R,6.9,Rotten,Upright,15806,14,84,no,no,no,no,no
Hollywood Homicide,Action & Adventure,116,2003,no,Ron Shelton,PG-13,5.3,Rotten,Spilled,30694,30,27,no,no,no,no,no
Morning Glory,Comedy,107,2010,no,Roger Michell,PG-13,6.5,Rotten,Spilled,56888,56,51,no,no,no,yes,no
11'09''01 - September 11,Drama,134,2002,no,Samira Makhmalbaf,Unrated,7,Certified Fresh,Upright,4821,78,64,no,no,yes,no,no
Clownhouse,Horror,81,1989,no,Victor Salva,R,5.8,Rotten,Spilled,3145,40,41,no,no,no,no,no
Rampart,Drama,108,2012,no,Oren Moverman,R,5.8,Certified Fresh,Spilled,19115,74,35,no,no,no,no,no
Cashback,Drama,102,2007,no,Sean Ellis,R,7.2,Rotten,Upright,70994,46,78,no,no,no,no,no
The Host,Drama,120,2007,no,Bong Joon-ho,R,7,Certified Fresh,Upright,66233,92,72,no,no,no,no,no
Aspen Extreme,Drama,113,1993,no,Patrick Hasburgh,PG-13,5.8,Rotten,Upright,2295,22,66,no,no,no,no,no
Nomads,Drama,91,1986,no,John McTiernan,R,5.5,Rotten,Spilled,2698,13,37,no,no,no,no,no
Deconstructing Harry,Comedy,96,1997,no,Woody Allen,R,7.4,Fresh,Upright,34652,71,82,no,no,no,no,yes
The End of America,Documentary,NA,2008,no,Anne Sundberg,Unrated,7.5,Fresh,Upright,739,80,72,no,no,no,no,no
Hot Shots! Part Deux,Action & Adventure,86,1993,no,Jim Abrahams,PG-13,6.6,Rotten,Upright,64489,59,63,no,no,no,no,no
Control,Musical & Performing Arts,122,2007,no,Hanne Myren,R,7.8,Certified Fresh,Upright,49985,87,89,no,no,no,no,no
Lassie,Action & Adventure,94,1994,no,Daniel Petrie,PG,5.8,Fresh,Spilled,3649,87,56,no,no,no,no,no
What Richard Did,Drama,88,2013,no,Lenny Abrahamson,Unrated,6.3,Fresh,Upright,3359,93,62,no,no,no,no,no
Emperor,Mystery & Suspense,105,2013,no,Peter Webber,PG-13,6.5,Rotten,Spilled,10020,31,46,no,no,no,no,no
Hereafter,Mystery & Suspense,129,2010,no,Clint Eastwood,PG-13,6.5,Rotten,Spilled,78726,46,38,no,no,no,no,yes
Aladdin,Action & Adventure,90,1992,yes,John Musker,G,8,Certified Fresh,Upright,246907,94,92,no,no,no,no,no
The King of Comedy,Drama,109,1983,no,Martin Scorsese,PG,7.8,Certified Fresh,Upright,49374,89,89,no,no,yes,no,yes
Bound,Mystery & Suspense,108,1996,no,Larry Wachowski,R,7.4,Fresh,Upright,40001,92,82,no,no,no,no,no
The Pact,Horror,89,2012,no,Nicholas McCarthy,R,5.8,Fresh,Spilled,18670,65,41,no,no,no,no,no
Electric Dreams,Drama,95,1984,no,Steve Barron,PG,6.5,Rotten,Upright,5149,47,72,no,no,no,no,no
Bull Durham,Drama,108,1988,no,Ron Shelton,R,7.1,Certified Fresh,Upright,35577,97,83,no,no,no,yes,no
Man on Wire,Documentary,94,2008,no,James Marsh,PG-13,7.9,Certified Fresh,Upright,38076,100,87,no,no,no,no,no
Epic Movie,Action & Adventure,86,2007,no,Aaron Seltzer,R,2.3,Rotten,Spilled,87652,2,29,no,no,no,no,no
Below,Mystery & Suspense,105,2002,no,David Twohy,R,6.2,Fresh,Spilled,17329,63,45,no,no,no,no,no
The Captive,Mystery & Suspense,112,2014,no,Atom Egoyan,R,5.9,Rotten,Spilled,16511,31,34,no,no,no,no,no
The Saddest Music in the World,Drama,100,2004,no,Guy Maddin,R,7.2,Certified Fresh,Upright,5002,78,79,no,no,no,no,no
"The Godfather, Part II",Mystery & Suspense,202,1974,no,Francis Ford Coppola,R,9,Certified Fresh,Upright,749783,97,97,yes,yes,yes,yes,yes
Phantom of the Paradise,Horror,92,1974,no,Brian DePalma,PG,7.4,Fresh,Upright,10599,95,84,no,no,no,no,no
Twenty Bucks,Drama,91,1993,no,Keva Rosenfeld,R,6.4,Fresh,Upright,3101,75,63,no,no,no,no,no
Alaska,Action & Adventure,109,1996,no,Fraser Clarke Heston,PG,5.7,Rotten,Spilled,4180,18,44,no,no,yes,no,no
Running on Empty,Musical & Performing Arts,116,1988,no,Sidney Lumet,PG-13,7.7,Fresh,Upright,9904,85,68,no,no,no,no,no
Godzilla Vs Mechagodzilla,Art House & International,84,1974,no,Jun Fukuda,PG,6.3,Fresh,Upright,3428,67,61,no,no,no,no,no
49 Up,Documentary,180,2006,no,Michael Apted,Unrated,8.2,Certified Fresh,Upright,2056,95,86,no,no,no,no,no
This is 40,Comedy,134,2012,no,Judd Apatow,R,6.2,Rotten,Spilled,100447,51,50,no,no,no,no,no
Fair Game,Drama,108,2010,no,Doug Liman,PG-13,6.8,Certified Fresh,Upright,37506,79,65,no,no,yes,no,no
Hercules,Action & Adventure,98,2014,no,Brett Ratner,PG-13,6,Fresh,Spilled,109633,60,49,no,no,no,no,no
Max Manus: Man of War,Drama,118,2010,no,Joachim Roenning,Unrated,7.3,Fresh,Upright,21443,80,83,no,no,no,no,no
Curdled,Drama,88,1996,no,Reb Braddock,R,5.9,Rotten,Spilled,4031,17,57,no,no,no,no,no
The Omen,Mystery & Suspense,110,2006,no,John Moore,R,5.5,Rotten,Spilled,47692,27,40,no,no,no,no,no
A Night at the Roxbury,Comedy,82,1998,no,Amy Heckerling,PG-13,6.2,Rotten,Upright,47343,11,69,no,no,no,no,no
Tank Girl,Action & Adventure,104,1995,no,Rachel Talalay,R,5.2,Rotten,Upright,24084,38,63,no,no,no,no,no
Missing,Mystery & Suspense,122,1982,no,Costa-Gavras,PG,7.8,Fresh,Upright,13215,96,85,yes,no,yes,yes,no
Point Break,Mystery & Suspense,122,1991,no,Kathryn Bigelow,R,7.2,Fresh,Upright,105982,68,79,no,no,no,no,yes
Shall We Dance,Drama,106,2004,no,Peter Chelsom,PG-13,6.1,Rotten,Spilled,34461,46,57,no,no,no,yes,no
Malibu's Most Wanted,Comedy,86,2003,no,John Whitesell,PG-13,5.1,Rotten,Spilled,15714,31,53,no,no,no,no,no
The Evening Star,Drama,129,1996,no,Robert Harling,PG-13,5.8,Rotten,Upright,3358,23,65,no,no,no,yes,no
Cloud Atlas,Drama,172,2012,no,Tom Tykwer,R,7.5,Fresh,Upright,275125,66,66,no,no,yes,yes,no
Fire Down Below,Action & Adventure,105,1997,no,Harry Dean Stanton,R,4.9,Rotten,Spilled,13280,11,35,no,no,no,no,no
The Five Heartbeats,Musical & Performing Arts,121,1991,no,Robert Townsend,R,7.5,Rotten,Upright,2551,38,95,no,no,no,no,no
Porky's Revenge,Art House & International,92,1985,no,James Komack,R,4.6,Rotten,Spilled,5863,27,33,no,no,no,no,no
Disaster Movie,Comedy,87,2008,no,Aaron Seltzer,PG-13,1.9,Rotten,Spilled,73219,1,19,no,no,no,no,no
Teen Wolf Too,Science Fiction & Fantasy,95,1987,no,Christopher Leitch,PG,3.1,Rotten,Spilled,8319,7,17,no,no,no,no,no
The Fighter,Other,116,2010,no,David O. Russell,R,7.9,Certified Fresh,Upright,265725,90,89,yes,no,no,no,no
A Little Romance,Drama,110,1979,no,George Roy Hill,PG,7.5,Fresh,Upright,3859,72,86,no,no,yes,no,yes
First Knight,Drama,134,1995,no,Jerry Zucker,PG-13,5.9,Rotten,Spilled,53535,47,55,no,no,no,no,no
Tabloid,Documentary,87,2011,no,Errol Morris,R,7.1,Certified Fresh,Upright,4907,91,72,no,no,no,no,no
The Hurt Locker,Drama,131,2009,no,Kathryn Bigelow,R,7.6,Certified Fresh,Upright,318019,98,84,no,yes,no,no,yes
Benda Bilili!,Documentary,85,2011,no,Florent de la Tullaye,PG-13,7.5,Fresh,Upright,679,93,82,no,no,no,no,no
Memento,Mystery & Suspense,113,2000,no,Christopher Nolan,R,8.5,Certified Fresh,Upright,806911,92,94,no,no,no,no,no
A Prayer for the Dying,Drama,107,1987,no,Mike Hodges,R,6.4,Fresh,Spilled,3342,63,55,no,no,no,no,no
Jonestown: The Life and Death of Peoples Temple,Documentary,86,2006,no,Stanley Nelson,Unrated,7.9,Certified Fresh,Upright,3649,94,88,no,no,no,no,no
So I Married an Axe Murderer,Comedy,93,1993,no,Thomas Schlamme,PG-13,6.4,Rotten,Upright,27417,55,68,no,no,no,no,no
Ziggy Stardust and the Spiders from Mars,Documentary,90,1973,no,D.A. Pennebaker,PG,7.5,Fresh,Upright,1815,71,89,no,no,no,no,no
Conversations With Other Women,Drama,84,2006,no,Hans Canosa,R,7.1,Fresh,Upright,9939,74,76,no,no,no,no,no
Sleepwalking,Drama,101,2008,no,Bill Maher,R,6.2,Rotten,Spilled,4857,17,43,no,no,no,yes,no
"Next Stop, Greenwich Village",Drama,111,1976,no,Paul Mazursky,R,6.9,Fresh,Upright,1428,73,62,no,no,no,no,no
Dream House,Mystery & Suspense,92,2011,no,Jim Sheridan,PG-13,5.9,Rotten,Spilled,44248,6,36,no,no,no,no,no
Resurrecting the Champ,Drama,112,2007,no,Rod Lurie,PG-13,6.8,Fresh,Upright,18141,60,60,no,no,no,no,no
The Help,Drama,146,2011,no,Tate Taylor,PG-13,8.1,Certified Fresh,Upright,303529,76,89,yes,no,no,no,no
A Scanner Darkly,Drama,100,2006,no,Richard Linklater,R,7.1,Fresh,Upright,86953,69,74,no,no,no,no,no
Hard Candy,Drama,104,2006,no,David Slade,R,7.1,Fresh,Upright,128361,68,78,no,no,no,no,no
This Is the End,Drama,107,2013,no,Seth Rogen,R,6.7,Certified Fresh,Upright,297034,83,71,no,no,no,no,no
Longtime Companion,Drama,96,1990,no,Norman Rene,R,7.6,Fresh,Upright,4143,100,82,no,no,no,no,no
The Last Lions,Documentary,88,2011,no,Dereck Joubert,PG,8.4,Fresh,Upright,3128,87,89,no,no,yes,no,no
"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God)",Drama,93,1972,no,Werner Herzog,R,8,Fresh,Upright,36909,98,91,no,no,no,no,no
The Main Event,Other,112,1979,no,Howard Zieff,PG,5.8,Rotten,Spilled,1816,38,44,no,no,no,no,no
Inserts,Drama,117,1975,no,John Byrum,NC-17,6.4,Fresh,Spilled,1043,80,56,no,no,yes,no,no
Star Trek: Insurrection,Action & Adventure,103,1998,no,Jonathan Frakes,PG,6.4,Rotten,Spilled,54829,55,45,no,no,no,no,no
Valmont,Drama,137,1989,no,Milos Forman,R,7,Rotten,Upright,9725,54,70,no,no,yes,no,no
Kill Bill: Volume 2,Drama,137,2004,no,Quentin Tarantino,R,8,Certified Fresh,Upright,490295,84,89,no,no,no,no,no
8 Heads in a Duffel Bag,Comedy,95,1997,no,Tom Schulman,R,5.2,Rotten,Spilled,7881,11,35,no,no,no,no,no
Meteor,Drama,108,1979,no,Ronald Neame,PG,4.9,Rotten,Spilled,5136,5,13,no,no,no,no,no
Dance Flick,Action & Adventure,83,2009,no,Damien Wayans,PG-13,3.5,Rotten,Spilled,10055,18,30,no,no,no,no,no
Stolen Summer,Drama,91,2002,no,Pete Jones,PG,6.5,Rotten,Upright,2408,36,68,no,no,no,no,no
1941,Action & Adventure,118,1979,no,Steven Spielberg,PG,5.9,Rotten,Spilled,24472,32,49,no,no,no,no,yes
Underworld: The Rise of the Lycans,Action & Adventure,92,2009,no,Patrick Tatopoulos,R,6.6,Rotten,Upright,115026,29,63,no,no,no,no,no
After Innocence,Documentary,95,2005,no,Jessica Sanders,Unrated,7.8,Certified Fresh,Upright,651,91,81,no,no,no,no,no
Tim and Eric's Billion Dollar Movie,Comedy,93,2012,no,Tim Heidecker,R,5.3,Rotten,Spilled,7710,38,47,no,no,no,no,no
Mr. Jones,Drama,114,1993,no,Mike Figgis,R,5.7,Rotten,Spilled,5425,46,51,no,no,no,yes,no
Goin' South,Other,105,1978,no,Jack Nicholson,PG,6.3,Fresh,Spilled,4550,71,50,no,no,yes,no,no
Russian Dolls (Les Poupees Russes),Other,125,2006,no,Cedric Klapisch,Unrated,7,Fresh,Upright,16262,72,78,no,no,no,no,no
My Flesh and Blood,Documentary,83,2003,no,Jonathan Karsh,Unrated,8.4,Fresh,Upright,1571,90,93,no,no,no,no,no
Revenge of the Nerds II: Nerds in Paradise,Comedy,88,1987,no,Joe Roth,PG-13,4.9,Rotten,Spilled,10271,8,35,no,no,no,no,no
Hulk,Action & Adventure,138,2003,no,Ang Lee,PG-13,5.7,Fresh,Spilled,204042,61,29,no,no,no,no,yes
Vampire in Brooklyn,Horror,100,1995,no,Wes Craven,R,4.5,Rotten,Spilled,16824,10,31,no,no,no,no,no
George Washington,Art House & International,89,2000,no,David Green,Unrated,7.5,Certified Fresh,Upright,6061,84,85,no,no,no,no,no
Agent Cody Banks 2: Destination London,Action & Adventure,100,2004,no,Kevin Allen,PG,4.5,Rotten,Spilled,10651,13,31,no,no,no,no,no
Into The Arms Of Strangers - Stories Of The Kindertransport,Documentary,122,2000,no,Mark Jonathan Harris,PG,7.9,Fresh,Upright,1346,94,85,no,no,no,no,no
The Take,Drama,96,2007,no,Brad Furman,R,5.8,Fresh,Spilled,1886,85,49,no,no,no,no,no
A Star is Born,Drama,139,1976,no,Frank R. Pierson,R,6.5,Rotten,Upright,4874,31,69,yes,no,no,yes,no
The Belly of an Architect,Drama,119,1987,no,Peter Greenaway,R,7,Fresh,Upright,4121,91,80,no,no,no,no,no
Veronica Mars,Drama,107,2014,no,Rob Thomas (III),PG-13,6.8,Certified Fresh,Upright,40133,78,79,no,no,no,no,no
Kaena: The Prophecy,Action & Adventure,85,2004,no,Chris Delaporte,PG-13,6.2,Rotten,Spilled,3416,7,43,no,no,no,no,no
Ghost Ship,Horror,91,2002,no,Steve Beck,R,5.5,Rotten,Spilled,73617,14,37,no,no,no,no,no
21 Grams,Drama,124,2003,no,Alejandro Gonzalez Inarritu,R,7.7,Certified Fresh,Upright,183747,80,86,no,no,yes,no,yes
Date Night,Comedy,88,2010,no,Shawn Levy,PG-13,6.3,Fresh,Spilled,123588,67,55,no,no,no,no,no
Anchorman 2: The Legend Continues,Comedy,119,2013,no,Adam McKay,PG-13,6.3,Certified Fresh,Spilled,124250,75,52,no,no,no,no,no
